id	en1	jp1	en2	jp2
2167	exact	正確な、厳密な	His explanation was exact and helped everyone understand.	彼の説明は正確で、皆が理解するのを助けました。
2168	juice	ジュース、果物の汁	I enjoy drinking fresh orange juice in the morning.	朝に新鮮なオレンジジュースを飲むのが好きです。
2169	ago	以前、過去に	I visited my hometown a year ago.	私は一年前に故郷を訪れました。
2170	breadth	幅	The breadth of this street is wide enough for pedestrians to walk safely.	この通りの幅は歩行者が安全に通れるほど広いです。
2171	zero	ゼロ、数字の0	The temperature dropped to zero degrees Celsius last night.	昨夜、気温が摂氏ゼロ度まで下がりました。
2172	attraction	魅力、引き寄せる力	The city has many tourist attractions, including beautiful parks and historic buildings.	その街には美しい公園や歴史的な建物など、多くの観光名所があります。
2173	effort	努力、労力	Success requires a great deal of effort.	成功には大きな努力が必要です。
2174	entertain	楽しませる、娯楽を提供する	The magician entertained the audience with his amazing tricks.	そのマジシャンは素晴らしいトリックで観客を楽しませました。
2175	committee	委員会、特定の目的のために集まった人々のグループ	The committee will meet next week to discuss the new project.	委員会は来週、新しいプロジェクトについて話し合う予定です。
2176	already	すでに、もう	She has already finished her homework.	彼女はすでに宿題を終えました。
2177	frequency	頻度、発生回数	He wants to increase the frequency of his workouts.	彼は毎日運動する頻度を増やしたいと思っています。
2178	life	生活、人生	Life can be full of unexpected challenges.	人生は予期しない課題に満ちていることがある。
2179	ice	氷、冷たい物質	Be careful, the ice on the lake is very thin.	気をつけて、湖の氷はとても薄いです。
2180	elder	年長者、高齢者	She is highly respected as the elder of the village.	彼女は村の年長者として非常に尊敬されています。
2181	pad	パッド、クッションや保護材などの用途を持つ物体	She wrote her notes on a notepad during the lecture.	彼女は講義中にノートパッドにメモを取りました。
2182	against	対抗する、反対する	She spoke out against injustice.	彼女は不正に対抗するために声を上げました。
2183	step	ステップ、段階	Take a step back to see the bigger picture.	全体像を見るために、一歩下がってみてください。
2184	fat	太っている、脂肪の	He is trying to eat a low-fat diet for his health.	彼は健康のために、脂肪の少ない食事を心掛けています。
2185	hold	持つ、開催する	He held her hand.	彼は彼女の手を握った。
2186	settle	解決する、落ち着かせる、定住する	They decided to settle in a small town after getting married.	彼らは結婚後、小さな町に定住することに決めました。
2187	station	駅	Many people come and go at the station.	駅には多くの人々が行き交っています。
2188	bend	曲げる、折れる	She had to bend down to tie her shoes.	彼女は靴ひもを結ぶためにしゃがまなければならなかった。
2189	medicine	薬	I need to take my medicine every day to get better.	病気を治すために、毎日薬を飲む必要があります。
2190	grave	墓、重大な	The old grave in the cemetery was overgrown with weeds.	その墓地の古い墓は雑草が生い茂っていた。
2191	baby	赤ちゃん、幼児	The baby smiled when I tickled her.	私が彼女をくすぐると、その赤ちゃんは微笑んだ。
2192	accuse	非難する、告発する	He was afraid that people would accuse him of lying.	彼は、人々が彼を嘘つきだと非難するのではないかと恐れていた。
2193	lack	不足、欠乏	There is a lack of resources to complete the project on time.	プロジェクトを時間内に完了させるための資源が不足しています。
2194	hat	帽子	She wore a stylish hat to the party.	彼女はパーティーにスタイリッシュな帽子をかぶって行った。
2195	desert	砂漠	The desert is hot during the day and cold at night.	砂漠は昼は暑く、夜は寒いです。
2196	prize	賞、商品	He won the contest and received a wonderful prize.	彼はコンテストで優勝し、素晴らしい賞を受け取りました。
2197	coin	硬貨、メダル	She found a shiny coin on the sidewalk.	彼女は歩道に光る硬貨を見つけました。
